listing_id,is_hidden,positive_rate,price_clean,predicted_price,discount_pct,in_test_set,latitude,longitude,accommodates,bedrooms,amenities_count,room_type,neighbourhood_cleansed,number_of_reviews,property_type,residual,cluster
1314863,1,1.0,20.0,99.98085906052208,0.7999617107921301,1,41.92356,12.51594,1,1.0,33,Private room,II Parioli/Nomentano,24,Private room in rental unit,-79.98085906052209,0
1348401543407999020,1,1.0,20.0,93.38923961813153,0.7858425651415519,1,41.88074260769627,12.427944080805169,1,1.0,5,Private room,XII Monte Verde,1,Private room in rental unit,-73.38923961813153,0
9671847,1,1.0,72.0,292.6348117624253,0.7539595526370493,1,41.89876,12.46637,6,2.0,32,Entire home/apt,I Centro Storico,133,Entire loft,-220.63481176242527,4
53486585,1,1.0,22.0,85.68479995651496,0.7432450094863383,1,41.882019,12.420577,2,1.0,15,Private room,XII Monte Verde,2,Private room in rental unit,-63.684799956514965,0
31161472,1,0.7777777777777778,49.0,185.07314189702765,0.7352398111484865,1,41.90856,12.49873,4,1.0,25,Entire home/apt,I Centro Storico,50,Entire rental unit,-136.07314189702765,0
988155470939496475,1,1.0,19.0,68.28780228419973,0.7217658298487053,1,41.93583,12.42043,1,1.0,19,Private room,XIV Monte Mario,10,Private room in rental unit,-49.28780228419973,0
1400988868675252013,1,1.0,55.0,191.0250605614952,0.7120796620174645,1,41.918628865183045,12.495453916490078,2,1.0,12,Private room,II Parioli/Nomentano,2,Private room in rental unit,-136.02506056149522,0
767956024532396981,1,1.0,45.0,151.36071706188477,0.7026969687147989,1,41.90562838710737,12.498701796058334,1,1.0,49,Private room,I Centro Storico,76,Private room in rental unit,-106.36071706188476,1
50556639,1,1.0,110.0,369.26495833591,0.7021109165199042,1,41.81386,12.60725,8,3.0,26,Entire home/apt,VII San Giovanni/Cinecittà,26,Entire condo,-259.26495833591,5
31604590,1,1.0,48.0,160.3183120202394,0.7005956500219375,1,41.73544692993164,12.27608585357666,1,2.0,19,Private room,X Ostia/Acilia,90,Private room in bed and breakfast,-112.3183120202394,2
1334633498308434942,1,1.0,202.0,651.8663957081915,0.6901205502692833,1,41.8924219,12.4135502,11,5.0,52,Entire home/apt,XIII Aurelia,3,Entire rental unit,-449.8663957081915,3
19421401,1,1.0,50.0,151.36071706188477,0.6696632985719988,1,41.88472,12.47038,1,1.0,17,Private room,I Centro Storico,52,Private room in condo,-101.36071706188476,0
41374778,1,0.8181818181818182,218.0,651.8663957081915,0.6655756433599196,1,41.89902,12.47148,12,4.0,49,Entire home/apt,I Centro Storico,75,Entire rental unit,-433.8663957081915,3
37899638,1,1.0,51.0,151.36071706188477,0.6630565645434388,1,41.89193,12.46786,2,1.0,40,Private room,I Centro Storico,85,Private room in condo,-100.36071706188476,1
1334072717817536581,1,1.0,129.0,369.26495833591,0.6506573475551604,1,41.8819855,12.5202507,8,2.0,13,Entire home/apt,VII San Giovanni/Cinecittà,2,Entire rental unit,-240.26495833591,5
2812859,1,1.0,241.0,651.8663957081915,0.6302923396777094,1,41.88232,12.47613,11,4.0,49,Entire home/apt,I Centro Storico,131,Entire vacation home,-410.8663957081915,3
18524038,1,1.0,63.0,166.7004016334289,0.6220764954211938,1,41.89812,12.47119,5,1.0,20,Private room,I Centro Storico,26,Private room in rental unit,-103.7004016334289,0
18524044,1,1.0,63.0,166.7004016334289,0.6220764954211938,1,41.89812,12.47119,4,1.0,18,Private room,I Centro Storico,29,Private room in rental unit,-103.7004016334289,0
37224872,1,1.0,70.0,185.07314189702765,0.6217711587835522,1,41.88144,12.47598,4,1.0,37,Entire home/apt,I Centro Storico,7,Entire rental unit,-115.07314189702764,1
1409404766762553661,1,1.0,225.0,586.8620469594883,0.6166049565383942,1,41.9023337,12.4911157,8,3.0,52,Entire home/apt,I Centro Storico,0,Entire rental unit,-361.86204695948834,3
24824079,1,1.0,43.0,110.95884473388207,0.6124689284290138,1,41.78062,12.36593,6,2.0,57,Entire home/apt,X Ostia/Acilia,51,Entire rental unit,-67.95884473388207,2
28123178,1,0.8333333333333334,41.0,105.17092528053756,0.6101584169708996,1,41.7429,12.37368,2,1.0,51,Private room,X Ostia/Acilia,127,Private room in villa,-64.17092528053755,2
28660353,1,1.0,131.0,334.39909515697065,0.6082525284988969,1,41.87978,12.46052,7,2.0,46,Entire home/apt,XII Monte Verde,31,Entire rental unit,-203.39909515697065,4
34249299,1,0.8571428571428571,60.0,151.36071706188477,0.6035959582863986,1,41.88622,12.46845,2,3.0,30,Private room,I Centro Storico,28,Private room in home,-91.36071706188476,5
24307718,1,1.0,60.0,151.36071706188477,0.6035959582863986,1,41.8863,12.46799,2,1.0,15,Entire home/apt,I Centro Storico,5,Entire loft,-91.36071706188476,0
1019643,1,0.875,74.0,185.07314189702765,0.6001580821426122,1,41.90936,12.4794,4,1.0,30,Entire home/apt,I Centro Storico,320,Entire rental unit,-111.07314189702764,0
1373042121974829579,1,1.0,49.0,122.48860293673008,0.5999627816368326,1,41.8307437,12.5902004,5,2.0,31,Entire home/apt,VII San Giovanni/Cinecittà,0,Entire rental unit,-73.48860293673008,5
51857871,1,1.0,39.0,95.66887299239862,0.5923438963987926,1,41.90745544433594,12.548469543457031,1,4.0,31,Private room,IV Tiburtina,32,Private room in condo,-56.66887299239862,5
