id,price_clean,predicted_price,pred_minus_actual,pct_under_actual,pred_minus_actual_z,name,neighbourhood,room_type,number_of_reviews,host_id
43585206,105.0,5330.0,5225.0,49.76190476190476,33.83623621325609,"Town House 62, double room",I Centro Storico,Private room,77,158817492.0
1488592704640950161,127.0,4370.999999999997,4243.999999999997,33.417322834645645,27.482042082843336,Ulivo Boutique Hotel,VII San Giovanni/Cinecittà,Private room,13,712379745.0
1552742640805232723,194.0,5775.0,5581.0,28.7680412371134,36.142141524598536,Residenza Aurea - a 5 min dallo stadio Olimpico,I Centro Storico,Entire home/apt,4,728813403.0
1395637805575181264,109.0,2994.0000000000014,2885.0000000000014,26.467889908256893,18.679442874656896,"b&b Aldo
king standard/ Piazza Re di Roma",VII San Giovanni/Cinecittà,Private room,27,689061241.0
43933497,232.0,5799.999999999996,5567.999999999996,23.999999999999986,36.05793711716185,Urbanflat Repubblica - una casa nel centro di Roma,I Centro Storico,Entire home/apt,101,15931004.0
1094879307716491054,165.0,3675.0,3510.0,21.272727272727273,22.727731693727186,Botanico Apt - Trastevere - Homkeey Apartments,I Centro Storico,Entire home/apt,91,562864650.0
1359519523467265951,120.0,2300.000000000001,2180.000000000001,18.166666666666675,14.112973086745594,[Rome-Trastevere] Dolcevita apartment,XII Monte Verde,Entire home/apt,80,678403882.0
755715251584447953,205.0,3675.0,3470.0,16.926829268292682,22.46864120930669,Penthouse with Terrace Via dei Coronari Cent- Rome,I Centro Storico,Entire home/apt,108,408517186.0
23893660,185.0,3114.9999999999973,2929.9999999999973,15.837837837837823,18.970919669629932,Entire House Divine Roma SanGiovanni/Colosseo,VII San Giovanni/Cinecittà,Entire home/apt,319,179557775.0
660111753983574393,165.0,2511.000000000001,2346.000000000001,14.218181818181824,15.188198597090667,Caput Mundi,VII San Giovanni/Cinecittà,Private room,4,406399935.0
1376263015167023742,169.0,1880.0000000000005,1711.0000000000005,10.12426035502959,11.075137156915238,3 comodi posti letto vicino Castel Sant'Angelo,I Centro Storico,Entire home/apt,41,586061899.0
1328167133546122842,174.0,1926.000000000001,1752.000000000001,10.068965517241384,11.340704903446252,Welcome in Fontana di Trevi charme apartment,I Centro Storico,Entire home/apt,33,17231471.0
1569644,83.0,912.9999999999995,829.9999999999995,9.999999999999995,5.368669237553736,Loft a Roma,V Prenestino/Centocelle,Entire home/apt,6,8134684.0
1402049033925144323,46.0,474.00000000000017,428.00000000000017,9.30434782608696,2.7648098691277236,Letto  in camerata da 6 in guesthouse,I Centro Storico,Shared room,37,1735597.0
1321746484634532502,49.0,499.99999999999983,450.99999999999983,9.204081632653057,2.9137868976695085,女生合租房3号床上铺,XI Arvalia/Portuense,Shared room,2,485809842.0
640106575136815805,80.0,805.0000000000002,725.0000000000002,9.062500000000004,4.688556715949931,Lovely studio for 2 with garden,XV Cassia/Flaminia,Entire home/apt,43,3659198.0
45097963,100.0,999.9999999999998,899.9999999999998,8.999999999999998,5.822077585289612,"Mr. Charlie Brown Quadrupla, Vatican city",I Centro Storico,Private room,6,171754093.0
1314670550402569893,181.0,1802.0,1621.0,8.955801104972375,10.492183566969112,Sweet Luxury HouseTrastevere,I Centro Storico,Entire home/apt,49,5466693.0
666462575544502563,104.0,999.0000000000005,895.0000000000005,8.605769230769235,5.789691274737054,Camera privata-Gianicolense(1)-B&B LA CASETTA,XII Monte Verde,Private room,28,468285403.0
16516320,86.0,825.9999999999997,739.9999999999997,8.604651162790693,4.7857156476076135,Lovely apartment Rome,XV Cassia/Flaminia,Entire home/apt,109,3659198.0
1538997400214712921,89.0,805.0000000000002,716.0000000000002,8.044943820224722,4.630261356955318,"Casa Mario, Casale in legno nella natura lazial...",XV Cassia/Flaminia,Private room,2,161673843.0
1379739821677342572,208.0,1880.0000000000005,1672.0000000000005,8.03846153846154,10.82252393460525,Pantheon Urbes Collection apt.1,I Centro Storico,Entire home/apt,4,564291972.0
11058479,119.0,1056.0,937.0,7.873949579831932,6.061736283378575,Famagosta Luxury Apartment Vatican,I Centro Storico,Entire home/apt,433,57395482.0
615524403214186996,57.0,474.00000000000017,417.00000000000017,7.315789473684213,2.6935599859120862,mysweetrooms private bathroom,IV Tiburtina,Private room,111,421811255.0
3699014,116.0,945.9999999999998,829.9999999999998,7.155172413793101,5.368669237553738,B&B Roma Rondò x2 ensuite bath 1km Colosseum,I Centro Storico,Private room,179,18850855.0
1034164569375233889,153.0,1159.0,1006.0,6.57516339869281,6.508667369003936,"-70%Offerta speciale [Zona centrale di Roma],",XI Arvalia/Portuense,Entire home/apt,71,548421791.0
12769033,316.0,2385.9999999999995,2069.9999999999995,6.550632911392404,13.400474254589213,Pantheon Family Romantic Suite,I Centro Storico,Entire home/apt,100,69475164.0
713555655769220184,139.0,1037.9999999999998,898.9999999999998,6.4676258992805735,5.815600323179099,Campo de’ fiori - cozy and central apt,I Centro Storico,Entire home/apt,95,30118540.0
606564995462221757,122.0,889.0000000000001,767.0000000000001,6.28688524590164,4.960601724591454,Elegante quadrupla al centro di Roma,VII San Giovanni/Cinecittà,Private room,4,411862171.0
594730128134827164,80.0,571.0000000000001,491.0000000000001,6.137500000000001,3.1728773820900096,Caldo e spazioso apt a 15 minuti dal vaticano,I Centro Storico,Entire home/apt,189,138494285.0
23874960,117.0,826.9999999999999,709.9999999999999,6.068376068376067,4.591397784292241,Room Aventino/Circo Massimo private entrance,I Centro Storico,Private room,210,104386218.0
1150500131977479590,176.0,1232.9999999999998,1056.9999999999998,6.005681818181817,6.839007736640071,Shalimar Navona,I Centro Storico,Entire home/apt,7,574855936.0
8351458,109.0,759.0000000000003,650.0000000000003,5.963302752293581,4.202762057661495,Camera con vista (e terrazzo),XII Monte Verde,Private room,132,30776710.0
1445745392292041431,50.0,340.00000000000045,290.00000000000045,5.800000000000009,1.870947697877003,22 singola con bagno in comune,XII Monte Verde,Private room,9,415603931.0
970108039869414289,129.0,877.0,748.0,5.7984496124031,4.837533744491716,New Guest House Prime Palace - Rome - Room n.4,VII San Giovanni/Cinecittà,Private room,19,533146183.0
1211443421576393503,169.0,1142.0000000000005,973.0000000000005,5.757396449704145,6.294917719357027,Hella Urbana 152: Elegant Two-Level City Oasis,I Centro Storico,Entire home/apt,25,587938263.0
1377634195677263630,95.0,632.9999999999998,537.9999999999998,5.663157894736839,3.4773087012840933,Casa Cristallina,III Monte Sacro,Entire home/apt,20,684459115.0
1140517105312222520,272.0,1762.999999999999,1490.999999999999,5.48161764705882,9.650139492602483,Domus Hortensia al Vaticano,I Centro Storico,Entire home/apt,33,45357036.0
782474272268044230,91.0,582.0000000000002,491.0000000000002,5.395604395604398,3.17287738209001,Luxury Loft Next to the Metro,VIII Appia Antica,Entire home/apt,112,41923690.0
26736719,88.0,559.9999999999999,471.9999999999999,5.363636363636362,3.049809401990271,Camera Matrimoniale Piccola con bagno Hotel Leone,I Centro Storico,Hotel room,187,57128440.0
53537738,137.0,870.0000000000002,733.0000000000002,5.350364963503651,4.74037481283403,Little Studio in Rione Monti,I Centro Storico,Entire home/apt,225,433533156.0
970122929185911648,139.0,877.0,738.0,5.309352517985611,4.772761123386591,New Guest House Prime Palace - Rome - Room n.5,VII San Giovanni/Cinecittà,Private room,13,533146183.0
1415947824162204285,127.0,799.0,672.0,5.291338582677166,4.345261824092767,Next Host Management,II Parioli/Nomentano,Entire home/apt,38,694245582.0
4733277,375.0,2347.0000000000005,1972.0000000000005,5.2586666666666675,12.765702567758995,Eve Gust House Trevi Fountain,I Centro Storico,Entire home/apt,93,24439450.0
1200530811856766141,74.0,463.0,389.0,5.256756756756757,2.5121966468177357,Room in Rome,VII San Giovanni/Cinecittà,Private room,27,77545353.0
