phrase,count
great location,21
great restaurant,8
main attraction,7
perfect location,5
good restaurant,5
amazing location,5
public transport,5
excellent location,4
great recommendation,4
central location,4
great area,4
last minute,4
fantastic location,4
next door,4
major attraction,4
first time,4
clear instruction,4
last day,4
comfortable bed,4
detailed instruction,3
ear plug,3
washing machine,3
great time,3
thoughtful touch,3
great neighborhood,3
safe neighborhood,3
minute walk,3
short walk,3
local recommendation,3
local restaurant,3
walkable distance,3
key attraction,3
easy check,3
great experience,3
good location,3
great food,3
next time,3
super clean,3
good communication,3
many restaurant,3
traditional window,2
hot water,2
natural light,2
next visit,2
personal item,2
walkable location,2
great option,2
excellent place,2
great pleasure,2
tourist attraction,2
