phrase,count
great location,17112
great restaurant,7947
good location,7192
short walk,6629
perfect location,6369
public transport,6342
easy access,5037
main attraction,4816
comfortable bed,4369
great time,4191
public transportation,4179
next time,4089
excellent location,3857
clear instruction,3742
local restaurant,3680
good restaurant,3659
hot water,3614
local recommendation,3574
great recommendation,3568
many restaurant,3361
major attraction,3287
amazing location,2986
long day,2881
great experience,2836
fantastic location,2831
first time,2797
super clean,2705
central location,2695
super responsive,2610
spanish step,2570
super helpful,2540
walkable distance,2255
early check,2159
metro station,2089
easy walk,2003
next door,1941
great communication,1788
nice restaurant,1707
wonderful time,1700
major site,1682
quiet street,1603
quiet area,1586
easy check,1576
quiet neighborhood,1525
convenient location,1492
front door,1474
super convenient,1414
good experience,1333
great area,1272
great spot,1270
